LTER_site,local_site,location,project_site,shore,collection_date ,Trichoptera_apataniidae_apatania,Trichoptera_rhyacophilidae_rhyacophila,Trichoptera_glossomatidae,Trichoptera_leptoceridae,Diptera_chironomidae,Diptera_simuliidae,Amphipoda_gammaridae,Ephemeroptera_baetidae_,Ephemeroptera_ameletidae_ameletus,Ephemeroptera_siphlonuridae,Coleoptera_dytiscidae,Plecoptera_perlidae_claassenia_,Plecoptera_perlodidae,Plecoptera_chloroperlidae,Rhynchobdellida_glossiphoniidae
NWT,GL1,LAKE,GL1_1E,EAST,6/28/18,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_2E,EAST,6/28/18,1,0,0,13,5,0,1,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_3E,EAST,6/28/18,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_4E,EAST,6/28/18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_5W,WEST,6/28/18,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_6W,WEST,6/28/18,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NWT,GL1,LAKE,GL1_7W,WEST,6/28/18,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_1E,EAST,7/3/18,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_2E,EAST,7/3/18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
NWT,GL4,INLET,GL4_3IN,NaN,7/3/18,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_4W,WEST,7/3/18,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NWT,GL4,LAKE,GL4_5W,WEST,7/3/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWT,GL4,OUTLET,GL4_6OUT,NaN,7/3/18,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_1W,WEST,7/5/18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NWT,ALB,LAKE,ALB_2W,WEST,7/5/18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
