site,LAT,LONG,running_water1,lake,type,collection_date ,collector ,elevation,temp,do_percent ,do_mgL,ph,nitrate,rock number,Average rock size ,totalrock_ volume,fish_pressence ,shore
Gl1_1E,40.04.724 N,105.60.692 W,0,Gl1,east,6/28/18,sy,11254,11.42,48,5.2,7.95,0.35,3,2.26,6.8,1,grass_rock
Gl1_2E,40.05.0017 N,105.60.521 W,0,Gl1,east,6/28/18,sy,11254,12.22,48.8,5.23,7.89,0.47,3,1.3,3.9,1,willow
Gl1_3E,40.05.120 N,105.60.442 W,0,Gl1,east,6/28/18,sy,11231,11.43,49,5.35,7.82,0.31,3,1.53,4.6,1,grass
Gl1_4E,40.05.142 N,105.60.428 W,0,Gl1,east,6/28/18,sy,11252,11.12,50.5,5.55,7.92,0.29,3,1,3,1,grass
Gl1_5W,40.05.015 N,105.60.600 W,0,Gl1,west,6/28/18,sy,11240,12.13,51.2,5.5,7.86,0.3,3,1.3,3.9,1,grass
Gl1_6W,40.05.018 N,105.60.651 W,0,Gl1,west,6/28/18,sy,11241,12.47,48.6,5.21,7.69,0.29,3,2.26,6.8,1,grass
Gl1_7W,40.05.045 N,105.60.686 W,0,Gl1,west,6/28/18,sy,11249,11.29,52.2,5.7,7.8,0.22,3,2.1,6.3,1,talus
Gl4_1E,40.05.591 N,105.62.035 W,0,Gl4,east,7/3/18,sy,11686,8.3,53.7,6.28,7.37,0.2,5,2.5,12.5,0,talus
Gl4_2E,40.05.533 N,105.62.136 W,0,Gl4,east,7/3/18,sy,11681,9.2,53.6,6.17,7.19,0.16,5,2.84,14.2,0,talus
Gl4_3IN,40.05.384 N,105.62.224 W,1,Gl4,in,7/3/18,sy,11685,10.1,53.1,5.96,6.8,0.14,5,1.54,7.7,0,grass_rock
Gl4_4W,40.05.418 N,105.62.022 W,0,Gl4,west,7/3/18,sy,11685,10.6,55.8,6.2,7.2,0.17,5,1.42,7.1,0,grass
Gl4_5W,40.05.494 N,105.61.936 W,0,Gl4,west,7/3/18,sy,11686,NA,NA,NA,NA,NA,5,1.4,7,0,grass
