INDIVIDUAL,Lake,SITE,DATE ,COLLECTOR,# of rocks,rock 1,rock 2,rock 3,rock 4,rock 5,EXAMINED BY,DATE EXAMINED,Microscope,MAGNIFICATION,Order,Family,Genus ,SIZE (mm),Notes 
1,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,10,
2,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,6.25,
3,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,10,
1,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,3.125,
2,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,9.375,
3,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,10,
4,GL1,Gl1_1E,6/28/18,SY,3,3,2,1.8,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,12.5,
1,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,amphipoda,gammaridae,,11,
1,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,trichop,apataniidae,apatania,3.125,
1,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,3.125,
2,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,
3,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,10,
4,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,
5,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,diptera,chironomidae,,6.25,
1,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,18.75,
2,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,15.625,
3,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,15.625,
4,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,15.625,
5,GL1,Gl1_2E,6/28/18,SY,3,1.2,0.7,2,NA,NA,SY,7/2/18,SZ51,0.8,trichop,leptoceridae,,12.5,
