LTER_site,local_site,location,project_site,date,Order,Family,Genus,count
NWT,GL1,LAKE,GL1_1E,2018-06-28,Amphipoda,gammaridae,NaN,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Amphipoda,gammaridae,NaN,1
NWT,GL1,LAKE,GL1_3E,2018-06-28,Amphipoda,gammaridae,NaN,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Amphipoda,gammaridae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Amphipoda,gammaridae,NaN,1
NWT,GL1,LAKE,GL1_6W,2018-06-28,Amphipoda,gammaridae,NaN,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Amphipoda,gammaridae,NaN,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_3E,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_6W,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Coleoptera,dytiscidae,NaN,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Diptera,chironomidae,NaN,4
NWT,GL1,LAKE,GL1_2E,2018-06-28,Diptera,chironomidae,NaN,5
NWT,GL1,LAKE,GL1_3E,2018-06-28,Diptera,chironomidae,NaN,2
NWT,GL1,LAKE,GL1_4E,2018-06-28,Diptera,chironomidae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Diptera,chironomidae,NaN,1
NWT,GL1,LAKE,GL1_6W,2018-06-28,Diptera,chironomidae,NaN,1
NWT,GL1,LAKE,GL1_7W,2018-06-28,Diptera,chironomidae,NaN,7
NWT,GL1,LAKE,GL1_1E,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_3E,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_6W,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Diptera,simuliidae,NaN,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_3E,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_6W,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Ephemeroptera,ameletidae,ameletus,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_3E,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_6W,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Ephemeroptera,baetidae,NaN,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_3E,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_6W,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Ephemeroptera,siphlonuridae,NaN,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_3E,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_4E,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_5W,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_6W,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_7W,2018-06-28,Plecoptera,chloroperlidae,NaN,0
NWT,GL1,LAKE,GL1_1E,2018-06-28,Plecoptera,perlidae,claassenia,0
NWT,GL1,LAKE,GL1_2E,2018-06-28,Plecoptera,perlidae,claassenia,0
