LTER_site,local_site,location,project_site,lat,long,date ,elevation,temp,sat ,DO,ph,nitrate,fish_pressence ,shore,lotic
NWT,GL1,LAKE,GL1_1E,40.04724,-105.60692,2018-06-28,3430,11.42,48,5.2,7.95,0.35,1,grass rock,0
NWT,GL1,LAKE,GL1_2E,40.05017,-105.60521,2018-06-28,3430,12.22,48.8,5.23,7.89,0.47,1,willow,0
NWT,GL1,LAKE,GL1_3E,40.05120,-105.60442,2018-06-28,3423,11.43,49,5.35,7.82,0.31,1,grass,0
NWT,GL1,LAKE,GL1_4E,40.05142,-105.60428,2018-06-28,3430,11.12,50.5,5.55,7.92,0.29,1,grass,0
NWT,GL1,LAKE,GL1_5W,40.05015,-105.60600,2018-06-28,3426,12.13,51.2,5.5,7.86,0.3,1,grass,0
NWT,GL1,LAKE,GL1_6W,40.05018,-105.60651,2018-06-28,3426,12.47,48.6,5.21,7.69,0.29,1,grass,0
NWT,GL1,LAKE,GL1_7W,40.05045,-105.60686,2018-06-28,3429,11.29,52.2,5.7,7.8,0.22,1,talus,0
NWT,GL4,LAKE,GL4_1E,40.05591,-105.62035,2018-07-03,3562,8.3,53.7,6.28,7.37,0.2,0,talus,0
NWT,GL4,LAKE,GL4_2E,40.05533,-105.62136,2018-07-03,3560,9.2,53.6,6.17,7.19,0.16,0,talus,0
NWT,GL4,INLET,GL4_3IN,40.05384,-105.62224,2018-07-03,3562,10.1,53.1,5.96,6.8,0.14,0,grass rock,1
NWT,GL4,LAKE,GL4_4W,40.05418,-105.62022,2018-07-03,3562,10.6,55.8,6.2,7.2,0.17,0,grass,0
NWT,GL4,LAKE,GL4_5W,40.05494,-105.61936,2018-07-03,3562, NaN, NaN, NaN, NaN, NaN,0,grass,0
NWT,GL4,OUTLET,GL4_6OUT,40.05577,-105.61718,2018-07-03,3555,9.3,60.5,6.86,7.26,0.15,0,grass rock,1
NWT,ALB,LAKE,ALB_1W,40.04567,-105.60241,2018-07-05,3355,11.7,68.8,7.4,7.94,0.14,1,grass,0
NWT,ALB,LAKE,ALB_2W,40.04567,-105.60241,2018-07-05,3354,12,72,7.66,7.64,0.15,1,talus,0
NWT,ALB,LAKE,ALB_3E,40.04612,-105.60207,2018-07-05,3357,11.5,73.6,7.98,7.91,0.13,1,willow,0
NWT,ALB,LAKE,ALB_4E,40.04893,-105.62770,2018-07-05,3356,11.5,71.7,7.55,7.8,0.13,1,talus,0
NWT,ALB,LAKE,ALB_5IN,40.04725,-105.60717,2018-07-05,3356,10.4,68.1,7.62,7.34,0.17,1,grass rock,1
NWT,GL1,LAKE,GL1_2E,40.05017,-105.60521,2018-07-12,3430,14.7,57.7,5.77,8.25,0.16,1,willow,0
NWT,GL1,LAKE,GL1_3E,40.05120,-105.60442,2018-07-12,3427,14.6,61.9,6.32,8.45,0.11,1,grass,0
NWT,GL1,LAKE,GL1_5W,40.05015,-105.60600,2018-07-12,3426,14.9,57.9,5.8,8.32,0.1,1,grass,0
NWT,GL1,LAKE,GL1_7W,40.05045,-105.60686,2018-07-12,3429,14.9,53.2,5.36,8.35,0.12,1,talus,0
