LTER_site,local_site,location,project_site,date,rock_total,rock1v,rock2v,rock3v,rock4v,rock5v,microscope,magnification,individual_number,order,family,genus ,size,notes 
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,1,trichop,apataniidae,apatania,10,
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,2,trichop,apataniidae,apatania,6.25,
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,3,trichop,apataniidae,apatania,10,
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,2,diptera,chironomidae,NaN,9.375,
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,3,diptera,chironomidae,NaN,10,
NWT,GL1,LAKE,Gl1_1E,2018-06-28,3,3,2,1.8,0,0,SZ51,0.8,4,diptera,chironomidae,NaN,12.5,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,1,amphipoda,gammaridae,NaN,11,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,1,trichop,apataniidae,apatania,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,1,diptera,chironomidae,NaN,3.125,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,2,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,3,diptera,chironomidae,NaN,10,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,4,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,5,diptera,chironomidae,NaN,6.25,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,1,trichop,leptoceridae,NaN,18.75,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,2,trichop,leptoceridae,NaN,15.625,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,3,trichop,leptoceridae,NaN,15.625,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,4,trichop,leptoceridae,NaN,15.625,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,5,trichop,leptoceridae,NaN,12.5,
NWT,GL1,LAKE,Gl1_2E,2018-06-28,3,1.2,0.7,2,0,0,SZ51,0.8,6,trichop,leptoceridae,NaN,15.625,
