local_site,year,location,depth,date,time,F3_wavelength,F3_chla,trilogy_chla,chla_QA,secchi,comments
ALB,2018,INLET,0,6/19/18,10:30,1 nm ,12.303,NaN,12.303,NaN,
ALB,2018,LAKE,0,6/19/18,8:40,1 nm ,12.303,NaN,12.303,2,PAR not working
ALB,2018,LAKE,3,6/19/18,8:48,1 nm ,11.653,NaN,11.653,NaN,
ALB,2018,LAKE,10,6/19/18,9:02,1 nm ,11.946,NaN,11.946,NaN,
GL1,2018,LAKE,0,6/28/18,8:52,1 nm ,5.996,NaN,5.996,6.5,
GL1,2018,LAKE,3,6/28/18,9:01,1 nm ,5.134,NaN,5.134,NaN,
GL1,2018,LAKE,6,6/28/18,9:11,1 nm ,4.23,NaN,4.23,NaN,
GL4,2018,INLET,0,7/3/18,13:20,1 nm ,1.374,1.11,1.11,NaN,
GL4,2018,LAKE,0,7/3/18,12:40,1 nm ,6.059,NaN,6.059,4.5,"PAR sensor batteries dead, sensor failing to hold charge"
GL4,2018,LAKE,3,7/3/18,12:42,1 nm ,5.155,NaN,5.155,NaN,
GL4,2018,LAKE,9,7/3/18,12:51,1 nm ,7.993,NaN,7.993,NaN,
GL4,2018,OUTLET,0,7/3/18,13:40,1 nm ,2.943,3.01,3.01,NaN,
ALB,2018,INLET,0,7/5/18,9:55,1 nm ,9.888,13.4,13.4,NaN,
ALB,2018,LAKE,0,7/5/18,9:15,1 nm ,5.631,7.52,7.52,3,stopped subtracting an hour for time
ALB,2018,LAKE,3,7/5/18,9:22,1 nm ,6.251,7.9,7.9,NaN,
ALB,2018,LAKE,12,7/5/18,9:40,1 nm ,5.817,8.03,8.03,NaN,
GL4,2018,INLET,0,7/10/18,12:31,1 nm ,2.502,2.12,2.12,NaN,
GL4,2018,LAKE,0,7/10/18,11:44,1 nm ,2.088,1.88,1.88,4,
GL4,2018,LAKE,3,7/10/18,11:51,1 nm ,2.018,1.65,1.65,NaN,
GL4,2018,LAKE,9,7/10/18,12:04,1 nm ,6.083,7.71,7.71,NaN,
GL4,2018,OUTLET,0,7/10/18,12:52,1 nm ,2.011,1.9,1.9,NaN,
GL1,2018,LAKE,0,7/12/18,9:02,1 nm ,6.083,2.6,2.6,5,PAR hit bottom after multiple attempts
GL1,2018,LAKE,3,7/12/18,9:08,1 nm ,5.354,6.92,6.92,NaN,
GL1,2018,LAKE,6,7/12/18,9:14,1 nm ,3.511,3.83,3.83,NaN,
GL4,2018,INLET,0,7/17/18,11:15,1 nm ,1.507,1.42,1.42,NaN,
GL4,2018,LAKE,0,7/17/18,9:56,1 nm ,2.299,2.1,2.1,5.25,a little windy big rainstorm the night before
GL4,2018,LAKE,3,7/17/18,10:04,1 nm ,1.983,NaN,1.983,NaN,
GL4,2018,LAKE,9,7/17/18,10:18,1 nm ,5.557,5.91,5.91,NaN,
GL4,2018,OUTLET,0,7/17/18,11:40,1 nm ,2.025,0.02,0.02,NaN,
ALB,2018,INLET,0,7/19/18,11:27,1 nm ,6.258,8.7,8.7,NaN,
ALB,2018,LAKE,0,7/19/18,10:31,1 nm ,4.443,5.43,5.43,3.5,"Sunny, but windy with some waves"
ALB,2018,LAKE,3,7/19/18,10:39,1 nm ,4.345,5.42,5.42,NaN,
ALB,2018,LAKE,12,7/19/18,10:58,1 nm ,6.3,8.37,8.37,NaN,
GL4,2018,INLET,0,7/24/18,10:55,1 nm ,2.915,3.35,3.35,NaN,
GL4,2018,LAKE,0,7/24/18,9:39,1 nm ,3.238,3.02,3.02,4.25,"clear, slight breeze, lots of rain the night before"
GL4,2018,LAKE,3,7/24/18,9:47,1 nm ,2.453,2.04,2.04,NaN,
GL4,2018,LAKE,9,7/24/18,10:00,1 nm ,5.249,6.03,6.03,NaN,
GL4,2018,OUTLET,0,7/24/18,11:15,1 nm ,3.006,2.48,2.48,NaN,
GL1,2018,LAKE,0,7/26/18,11:23,1 nm ,8.01,10.51,10.51,3,
GL1,2018,LAKE,3,7/26/18,11:30,3.5 nm,7.873,30.52,30.52,NaN,
GL1,2018,LAKE,6,7/26/18,11:37,3.5 nm,4.247,5.28,5.28,NaN,
