sample ID,site,date,depth,measurement,value,unit,Hiroba_oldchla
GL4.18.F11,GL4,7/3/18,IN,Chlorophyll,1.11,ug/l,1.37
GL4.18.F11,GL4,7/3/18,IN,Pheophytin,1.61,ug/l,NaN
GL4.18.F12,GL4,7/3/18,OUT,Chlorophyll,3.01,ug/l,2.94
GL4.18.F12,GL4,7/3/18,OUT,Pheophytin,2.14,ug/l,NaN
GL4.18.F17,GL4,7/10/18,0m,Chlorophyll,1.88,ug/l,2.09
GL4.18.F17,GL4,7/10/18,0m,Pheophytin,1.81,ug/l,NaN
GL4.18.F18,GL4,7/10/18,3m,Chlorophyll,1.65,ug/l,2.02
GL4.18.F18,GL4,7/10/18,3m,Pheophytin,2.21,ug/l,NaN
GL4.18.F19,GL4,7/10/18,9m,Chlorophyll,7.71,ug/l,6.08
GL4.18.F19,GL4,7/10/18,9m,Pheophytin,5.67,ug/l,NaN
GL4.18.F20,GL4,7/10/18,IN,Chlorophyll,2.12,ug/l,2.50
GL4.18.F20,GL4,7/10/18,IN,Pheophytin,3.49,ug/l,NaN
GL4.18.F21,GL4,7/10/18,OUT,Chlorophyll,1.9,ug/l,2.01
GL4.18.F21,GL4,7/10/18,OUT,Pheophytin,1.68,ug/l,NaN
GL4.18.F25,GL4,7/17/18,0m,Chlorophyll,2.1,ug/l,2.30
GL4.18.F27,GL4,7/17/18,9m,Chlorophyll,5.91,ug/l,5.56
GL4.18.F28,GL4,7/17/18,IN,Chlorophyll,1.42,ug/l,1.51
GL4.18.F29,GL4,7/17/18,OUT,Chlorophyll,0.02,ug/l,2.03
GL4.18.F34,GL4,7/24/18,0m,Chlorophyll,3.02,ug/l,3.24
GL4.18.F34,GL4,7/24/18,0m,Pheophytin,2.28,ug/l,NaN
GL4.18.F35,GL4,7/24/18,3m,Chlorophyll,2.04,ug/l,2.45
GL4.18.F35,GL4,7/24/18,3m,Pheophytin,2.23,ug/l,NaN
GL4.18.F36,GL4,7/24/18,9m,Chlorophyll,6.03,ug/l,5.25
GL4.18.F36,GL4,7/24/18,9m,Pheophytin,6.26,ug/l,NaN
GL4.18.F37,GL4,7/24/18,IN,Chlorophyll,3.35,ug/l,2.92
GL4.18.F37,GL4,7/24/18,IN,Pheophytin,5.01,ug/l,NaN
GL4.18.F38,GL4,7/24/18,OUT,Chlorophyll,2.48,ug/l,3.01
GL4.18.F38,GL4,7/24/18,OUT,Pheophytin,2.07,ug/l,NaN
GL4.18.F62,GL4,8/7/18,0m,Chlorophyll,2.14,ug/l,18.29
GL4.18.F48,GL4,8/7/18,0m,Chlorophyll,2.15,ug/l,18.29
GL4.18.F62,GL4,8/7/18,0m,Pheophytin,1.59,ug/l,NaN
GL4.18.F48,GL4,8/7/18,0m,Pheophytin,1.77,ug/l,NaN
GL4.18.F49,GL4,8/7/18,3m,Chlorophyll,2.13,ug/l,20.26
GL4.18.F63,GL4,8/7/18,3m,Pheophytin,1.56,ug/l,NaN
GL4.18.F49,GL4,8/7/18,3m,Pheophytin,1.71,ug/l,NaN
GL4.18.F50,GL4,8/7/18,9m,Chlorophyll,1.98,ug/l,17.82
GL4.18.F64,GL4,8/7/18,9m,Pheophytin,2.37,ug/l,NaN
GL4.18.F50,GL4,8/7/18,9m,Pheophytin,2.8,ug/l,NaN
GL4.18.F51,GL4,8/7/18,IN,Chlorophyll,1.78,ug/l,9.50
GL4.18.F65,GL4,8/7/18,IN,Pheophytin,3.7,ug/l,NaN
GL4.18.F51,GL4,8/7/18,IN,Pheophytin,3.82,ug/l,NaN
GL4.18.F52,GL4,8/7/18,OUT,Chlorophyll,2.23,ug/l,13.71
GL4.18.F66,GL4,8/7/18,OUT,Pheophytin,1.52,ug/l,NaN
GL4.18.F52,GL4,8/7/18,OUT,Pheophytin,1.64,ug/l,NaN
GL4.19.W1,GL4,3/26/19,0m,Chlorophyll,2.74,ug/l,NaN
GL4.19.W1,GL4,3/26/19,0m,Pheophytin,2.09,ug/l,NaN
GL4.19.W2,GL4,4/23/19,0m,Chlorophyll,2.37,ug/l,NaN
GL4.19.W2,GL4,4/23/19,0m,Pheophytin,1.74,ug/l,NaN
GL4.18.F25,GL4,7/17/19,0m,Pheophytin,1.83,ug/l,NaN
GL4.18.F27,GL4,7/17/19,9m,Pheophytin,6.81,ug/l,NaN
GL4.18.F28,GL4,7/17/19,IN,Pheophytin,4.08,ug/l,NaN
GL4.18.F29,GL4,7/17/19,OUT,Pheophytin,4.71,ug/l,NaN
GL4.19.F8,GL4,7/23/19,0m,Chlorophyll,6.64,ug/l,NaN
GL4.19.F8,GL4,7/23/19,0m,Pheophytin,2.85,ug/l,NaN
GL4.19.F9,GL4,7/23/19,3m,Chlorophyll,8.94,ug/l,NaN
GL4.19.F9,GL4,7/23/19,3m,Pheophytin,2.45,ug/l,NaN
GL4.19.F10,GL4,7/23/19,9m,Chlorophyll,4.1,ug/l,NaN
GL4.19.F10,GL4,7/23/19,9m,Pheophytin,2.2,ug/l,NaN
GL4.19.F11,GL4,7/23/19,IN,Chlorophyll,0.88,ug/l,NaN
GL4.19.F11,GL4,7/23/19,IN,Pheophytin,0.99,ug/l,NaN
GL4.19.F12,GL4,7/23/19,OUT,Chlorophyll,3.89,ug/l,NaN
GL4.19.F12,GL4,7/23/19,OUT,Pheophytin,1.54,ug/l,NaN
GL4.19.F16,GL4,7/30/19,0m,Chlorophyll,1.7,ug/l,NaN
GL4.19.F16,GL4,7/30/19,0m,Pheophytin,2.68,ug/l,NaN
GL4.19.F17,GL4,7/30/19,3m,Chlorophyll,3.48,ug/l,NaN
GL4.19.F17,GL4,7/30/19,3m,Pheophytin,3.19,ug/l,NaN
GL4.19.F18,GL4,7/30/19,9m,Chlorophyll,1.74,ug/l,NaN
GL4.19.F18,GL4,7/30/19,9m,Pheophytin,2.48,ug/l,NaN
GL4.19.F19,GL4,7/30/19,IN,Chlorophyll,3.31,ug/l,NaN
GL4.19.F19b,GL4,7/30/19,IN,Chlorophyll,3.3,ug/l,NaN
GL4.19.F19,GL4,7/30/19,IN,Pheophytin,0,ug/l,NaN
GL4.19.F19b,GL4,7/30/19,IN,Pheophytin,0,ug/l,NaN
GL4.19.F20,GL4,7/30/19,OUT,Chlorophyll,1.59,ug/l,NaN
GL4.19.F20,GL4,7/30/19,OUT,Pheophytin,2.65,ug/l,NaN
GL4.19.F25,GL4,8/6/19,0m,Chlorophyll,3.44,ug/l,NaN
GL4.19.F25,GL4,8/6/19,0m,Pheophytin,1.64,ug/l,NaN
GL4.19.F26,GL4,8/6/19,3m,Chlorophyll,2.78,ug/l,NaN
GL4.19.F26,GL4,8/6/19,3m,Pheophytin,1.52,ug/l,NaN
GL4.19.F27,GL4,8/6/19,9m,Chlorophyll,3.91,ug/l,NaN
GL4.19.F27,GL4,8/6/19,9m,Pheophytin,2.05,ug/l,NaN
GL4.19.F28,GL4,8/6/19,IN,Chlorophyll,0.88,ug/l,NaN
GL4.19.F28,GL4,8/6/19,IN,Pheophytin,1.18,ug/l,NaN
GL4.19.F29,GL4,8/6/19,OUT,Pheophytin,1.71,ug/l,NaN
GL4.19.F29,GL4,8/7/19,OUT,Chlorophyll,3.79,ug/l,NaN
GL4.19.F33,GL4,8/13/19,0m,Chlorophyll,6.13,ug/l,NaN
GL4.19.F33,GL4,8/13/19,0m,Pheophytin,2.54,ug/l,NaN
GL4.19.F34,GL4,8/13/19,3m,Chlorophyll,5.93,ug/l,NaN
GL4.19.F34,GL4,8/13/19,3m,Pheophytin,2.25,ug/l,NaN
GL4.19.F35,GL4,8/13/19,9m,Chlorophyll,4.17,ug/l,NaN
GL4.19.F35,GL4,8/13/19,9m,Pheophytin,2.3,ug/l,NaN
GL4.19.F36,GL4,8/13/19,IN,Chlorophyll,1.65,ug/l,NaN
GL4.19.F36,GL4,8/13/19,IN,Pheophytin,0,ug/l,NaN
GL4.19.F37,GL4,8/13/19,OUT,Chlorophyll,5.62,ug/l,NaN
GL4.19.F37,GL4,8/13/19,OUT,Pheophytin,2.41,ug/l,NaN
GL4.19.F41,GL4,8/20/19,0m,Chlorophyll,6.1,ug/l,NaN
GL4.19.F41,GL4,8/20/19,0m,Pheophytin,5.72,ug/l,NaN
GL4.19.F42,GL4,8/20/19,3m,Chlorophyll,6.01,ug/l,NaN
GL4.19.F42,GL4,8/20/19,3m,Pheophytin,5.95,ug/l,NaN
GL4.19.F43,GL4,8/20/19,9m,Chlorophyll,6.88,ug/l,NaN
GL4.19.F43,GL4,8/20/19,9m,Pheophytin,5.92,ug/l,NaN
GL4.19.F44,GL4,8/20/19,IN,Chlorophyll,2.69,ug/l,NaN
GL4.19.F44,GL4,8/20/19,IN,Pheophytin,5.16,ug/l,NaN
GL4.19.F45,GL4,8/20/19,OUT,Chlorophyll,5.22,ug/l,NaN
GL4.19.F45,GL4,8/20/19,OUT,Pheophytin,5.38,ug/l,NaN
GL4.19.F46,GL4,8/27/19,0m,Chlorophyll,4.84,ug/l,NaN
GL4.19.F46,GL4,8/27/19,0m,Pheophytin,2.16,ug/l,NaN
GL4.19.F47,GL4,8/27/19,3m,Chlorophyll,4.62,ug/l,NaN
GL4.19.F47,GL4,8/27/19,3m,Pheophytin,2.27,ug/l,NaN
GL4.19.F48,GL4,8/27/19,9m,Chlorophyll,2.59,ug/l,NaN
GL4.19.F48,GL4,8/27/19,9m,Pheophytin,2.09,ug/l,NaN
GL4.19.F50,GL4,8/27/19,IN,Chlorophyll,1,ug/l,NaN
GL4.19.F50,GL4,8/27/19,IN,Pheophytin,3.11,ug/l,NaN
GL4.19.F49,GL4,8/27/19,OUT,Chlorophyll,3.85,ug/l,NaN
GL4.19.F49,GL4,8/27/19,OUT,Pheophytin,2.41,ug/l,NaN
ALB.18.F13,ALB,7/5/18,0m,Pheophytin,3.7,ug/l,NaN
ALB.18.F13,ALB,7/5/18,0m,Chlorophyll,7.52,ug/l,12.30
ALB.18.F14,ALB,7/5/18,3m,Pheophytin,3.39,ug/l,NaN
ALB.18.F14,ALB,7/5/18,3m,Chlorophyll,7.9,ug/l,11.65
ALB.18.F15,ALB,7/5/18,12m,Pheophytin,5.63,ug/l,NaN
ALB.18.F15,ALB,7/5/18,12m,Chlorophyll,8.03,ug/l,11.95
ALB.18.F16,ALB,7/5/18,IN,Pheophytin,4.72,ug/l,NaN
ALB.18.F16,ALB,7/5/18,IN,Chlorophyll,13.4,ug/l,12.30
GL1.18.F22,GL1,7/12/18,0m,Pheophytin,12.44,ug/l,NaN
GL1.18.F22,GL1,7/12/18,0m,Chlorophyll,2.6,ug/l,6.00
