site,local_site,year,location,depth,date,time,chl_a,pH,temp,std_conduct,conduct,DO,sat,nitrate,secchi,PAR,flag,comments
NWT,ALB,2018,INLET,0,6/19/18,10:30,12.303,7.3,8.4,26.5,15.3,7.41,63.2,0.25,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,0,6/19/18,8:40,12.303,7.77,10.7,24.7,19.9,7.71,64.2,0.16,2,NaN,NaN,PAR not working
NWT,ALB,2018,LAKE,1,6/19/18,8:44,NaN,7.75,10.7,27.3,19.8,7.07,63.9,0.16,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,2,6/19/18,8:46,NaN,7.74,10.6,27.1,19.7,7.08,63.6,0.16,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,3,6/19/18,8:48,11.653,7.72,10.3,26.9,19.5,7.11,63.7,0.17,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,4,6/19/18,8:51,NaN,7.66,9.9,26,18.5,7.23,64,0.17,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,5,6/19/18,8:53,NaN,7.6,9.3,26.1,18.3,7.3,63.6,0.17,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,6,6/19/18,8:54,NaN,7.57,9,26.3,18.3,7.36,63.8,0.17,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,7,6/19/18,8:56,NaN,7.5,8.7,26.1,17.9,7.46,64,0.16,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,8,6/19/18,8:58,NaN,7.33,8.4,26.4,18,6.26,53.6,0.18,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,9,6/19/18,9:00,NaN,7.29,8.3,26.4,18,6.03,51.5,0.18,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,10,6/19/18,9:02,11.946,7.25,8.3,26.4,17.9,5.81,49.4,0.19,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,11,6/19/18,9:04,NaN,7.23,8.2,26.4,17.9,5.78,49,0.19,NaN,NaN,NaN,NaN
NWT,ALB,2018,LAKE,12,6/19/18,9:07,NaN,7.22,8.3,26.4,17.9,5.8,49.6,0.19,NaN,NaN,NaN,NaN
NWT,GL1,2018,LAKE,0,6/28/18,8:52,5.996,7.9,11.3,45.7,33.7,5.95,54.5,0.13,6.5,1156,NaN,NaN
NWT,GL1,2018,LAKE,1,6/28/18,8:57,NaN,7.91,11.2,45.7,33.6,5.91,54.1,0.13,NaN,888.7,NaN,NaN
NWT,GL1,2018,LAKE,2,6/28/18,8:59,NaN,7.92,11.1,45.5,33.5,5.91,53.6,0.13,NaN,720.5,NaN,NaN
NWT,GL1,2018,LAKE,3,6/28/18,9:01,5.134,7.96,10.5,45.6,32.9,6.04,54.5,0.13,NaN,470,NaN,NaN
NWT,GL1,2018,LAKE,4,6/28/18,9:03,NaN,7.95,10.2,47.7,32.8,6.15,54.8,0.13,NaN,344,NaN,NaN
NWT,GL1,2018,LAKE,5,6/28/18,9:07,NaN,7.91,10,46.1,33,6.16,54.7,0.14,NaN,202,NaN,NaN
NWT,GL1,2018,LAKE,6,6/28/18,9:11,4.23,7.93,9.8,46.5,33,6.25,54.2,0.16,NaN,174,NaN,NaN
NWT,GL1,2018,LAKE,7,6/28/18,9:14,NaN,7.85,9.7,46.4,32.8,6.15,53.3,0.25,NaN,40,NaN,NaN
NWT,GL1,2018,LAKE,8,6/28/18,9:21,NaN,7.75,9.5,48.4,33.8,5.43,48.2,0.27,NaN,56,NaN,NaN
NWT,GL1,2018,LAKE,9,6/28/18,9:24,NaN,7.73,9.7,55.1,38.8,5.75,50.7,0.25,NaN,61,NaN,NaN
NWT,GL1,2018,LAKE,10,6/28/18,9:26,NaN,7.73,9.7,54.4,38.5,5.32,47,0.25,NaN,7.5,NaN,NaN
NWT,GL4,2018,INLET,0,7/3/18,13:20,1.11,7.14,9.3,12.7,8.8,6.48,55.9,0.15,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,0,7/3/18,12:40,6.059,7.28,8.3,14.7,10,7.06,60.1,0.14,4.5,NaN,NaN,"PAR sensor batteries dead, sensor failing to hold charge"
NWT,GL4,2018,OUTLET,0,7/3/18,13:40,3.01,7.26,9.3,14.8,10.3,6.86,60.5,0.15,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,1,7/3/18,12:40,NaN,7.31,8.3,14.7,10,6.93,59.2,0.13,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,2,7/3/18,12:42,NaN,7.33,8.3,14.7,10,6.85,58.4,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,3,7/3/18,12:42,5.155,7.3,8.2,14.7,10,6.74,57.3,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,4,7/3/18,12:45,NaN,7.36,8.1,14.7,10,6.92,58.9,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,5,7/3/18,12:45,NaN,7.37,7.7,14.7,9.9,6.99,59.9,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,6,7/3/18,12:46,NaN,7.33,7.4,14.7,9.8,6.95,58.2,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,7,7/3/18,12:48,NaN,7.33,7.2,14.9,9.7,6.85,56.9,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,8,7/3/18,12:50,NaN,7.3,7.1,14.8,9.7,6.98,57.6,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,9,7/3/18,12:51,7.993,7.25,6.8,14.9,9.7,6.93,57,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,10,7/3/18,12:52,NaN,7.12,6.6,14,9.7,6.95,56.9,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,11,7/3/18,12:53,NaN,7.07,6.4,15,9.7,6.83,55.8,0.14,NaN,NaN,NaN,NaN
NWT,GL4,2018,LAKE,12,7/3/18,12:54,NaN,7.01,6.3,15.1,9.9,6.66,54.1,0.15,NaN,NaN,NaN,NaN
