site,local_site,year,location,depth,date,time,chl_a,pH,temp,std_conduct,conduct,DO,sat,nitrate,secchi,PAR,flag,comments
NWT,ALB,2019,INLET,0,7/9/19,11:12,6.95,6.78,8.1,22.2,16.8,0.51,4.3,1.1,NaN,NaN,NaN,NaN
NWT,ALB,2019,LAKE,0,7/9/19,9:51,3.89,7.24,8.9,25.6,17.7,0.34,3,0.56,2.5,1100,NaN,"Weather is sunny with no clouds. DO probe not working properly, do not use values. "
NWT,ALB,2019,LAKE,1,7/9/19,9:57,NaN,7.21,8.8,25.5,17.7,0.36,3,0.58,NaN,500,NaN,NaN
NWT,ALB,2019,LAKE,2,7/9/19,9:59,NaN,7.18,8.5,25.4,17.4,0.37,3.2,0.53,NaN,360,NaN,NaN
NWT,ALB,2019,LAKE,3,7/9/19,10:01,4.48,7.05,8.4,25.4,17.4,0.4,3.4,0.47,NaN,210,NaN,NaN
NWT,ALB,2019,LAKE,4,7/9/19,10:03,NaN,7.01,8.3,25.3,17.1,0.5,4.4,0.47,NaN,120,NaN,NaN
NWT,ALB,2019,LAKE,5,7/9/19,10:05,NaN,6.97,8.1,25.2,17.1,0.42,3.6,0.47,NaN,72,NaN,NaN
NWT,ALB,2019,LAKE,6,7/9/19,10:08,NaN,6.92,7.9,25,16.8,0.41,3.5,0.37,NaN,45,NaN,NaN
NWT,ALB,2019,LAKE,7,7/9/19,10:10,NaN,6.77,7.2,25.3,16.7,0.45,3.7,0.35,NaN,29,NaN,NaN
NWT,ALB,2019,LAKE,8,7/9/19,10:12,NaN,6.64,6.8,25.5,16.6,0.47,3.9,0.27,NaN,15,NaN,NaN
NWT,ALB,2019,LAKE,9,7/9/19,10:15,NaN,6.56,6.4,25.9,16.7,0.5,4,0.25,NaN,11.2,NaN,NaN
NWT,ALB,2019,LAKE,10,7/9/19,10:20,NaN,6.48,6,26.1,16.7,0.53,4.2,0.28,NaN,7,NaN,NaN
NWT,ALB,2019,LAKE,11,7/9/19,10:22,NaN,6.43,5.9,26.3,16.8,0.54,4.3,0.28,NaN,NaN,NaN,NaN
NWT,ALB,2019,LAKE,12,7/9/19,10:25,1.47,6.4,5.9,26.3,16.8,0.53,4.3,0.29,NaN,NaN,NaN,NaN
NWT,ALB,2019,LAKE,13,7/9/19,10:27,NaN,6.38,5.8,26.4,16.8,0.55,4.4,0.28,NaN,NaN,NaN,NaN
NWT,ALB,2019,LAKE,14,7/9/19,10:29,NaN,6.35,5.8,26.4,16.8,0.54,4.3,0.34,NaN,NaN,NaN,NaN
NWT,GL1,2019,LAKE,0,7/11/19,9:46,2.73,6.98,8.4,50.8,33.9,0.46,3.9,0.22,3.5,1164,NaN,Breezy day with clear skies. There are some floating icebergs of the snowbank in the lake.
NWT,GL1,2019,LAKE,1,7/11/19,9:52,NaN,7.03,8.4,50.8,34.6,0.47,4,0.23,NaN,623,NaN,Again DO sensor is not working properly.
NWT,GL1,2019,LAKE,2,7/11/19,9:55,NaN,7.03,8.3,51,34.7,0.48,4.1,0.2,NaN,415,NaN,NaN
NWT,GL1,2019,LAKE,3,7/11/19,9:58,3.66,6.95,7.2,51,33.6,55,4.5,0.15,NaN,215,NaN,NaN
