"","LTER_site","local_site","location","project_site","shore","date","taxa","count"
"1","NWT","GL1","LAKE","GL1_1E","EAST",2018-06-28,"Trichoptera_apataniidae_apatania",3
"2","NWT","GL1","LAKE","GL1_2E","EAST",2018-06-28,"Trichoptera_apataniidae_apatania",1
"3","NWT","GL1","LAKE","GL1_3E","EAST",2018-06-28,"Trichoptera_apataniidae_apatania",1
"4","NWT","GL1","LAKE","GL1_4E","EAST",2018-06-28,"Trichoptera_apataniidae_apatania",7
"5","NWT","GL1","LAKE","GL1_5W","WEST",2018-06-28,"Trichoptera_apataniidae_apatania",2
"6","NWT","GL1","LAKE","GL1_6W","WEST",2018-06-28,"Trichoptera_apataniidae_apatania",4
"7","NWT","GL1","LAKE","GL1_7W","WEST",2018-06-28,"Trichoptera_apataniidae_apatania",1
"8","NWT","GL4","LAKE","GL4_1E","EAST",2018-07-03,"Trichoptera_apataniidae_apatania",4
"9","NWT","GL4","LAKE","GL4_2E","EAST",2018-07-03,"Trichoptera_apataniidae_apatania",0
"10","NWT","GL4","INLET","GL4_3IN","NaN",2018-07-03,"Trichoptera_apataniidae_apatania",1
"11","NWT","GL4","LAKE","GL4_4W","WEST",2018-07-03,"Trichoptera_apataniidae_apatania",3
"12","NWT","GL4","LAKE","GL4_5W","WEST",2018-07-03,"Trichoptera_apataniidae_apatania",0
"13","NWT","GL4","OUTLET","GL4_6OUT","NaN",2018-07-03,"Trichoptera_apataniidae_apatania",0
"14","NWT","ALB","LAKE","ALB_1W","WEST",2018-07-05,"Trichoptera_apataniidae_apatania",0
"15","NWT","ALB","LAKE","ALB_2W","WEST",2018-07-05,"Trichoptera_apataniidae_apatania",0
"16","NWT","ALB","LAKE","ALB_3E","EAST",2018-07-05,"Trichoptera_apataniidae_apatania",0
"17","NWT","ALB","LAKE","ALB_4E","EAST",2018-07-05,"Trichoptera_apataniidae_apatania",0
"18","NWT","ALB","INLET","ALB_5IN","NaN",2018-07-05,"Trichoptera_apataniidae_apatania",0
"19","NWT","GL1","LAKE","GL1_2E","EAST",2018-07-12,"Trichoptera_apataniidae_apatania",0
